Linux 6.5.0-35-generic (workflow0-full1-487-burrows-wheeler-aligner-q9mvg) 	06/12/24 	_x86_64_	(96 CPU)

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1718174132     0        14         0    0.00   99.00    0.00   99.00    80 267962.00      0.00 3039216 1426944   0.73 1072384.00      0.00      0.00       0  bwa
 1718174132     0         0        14    0.00   99.00    0.00   99.00    80 267962.00      0.00 3039216 1426944   0.73 1072384.00      0.00      0.00       0  |__bwa

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1718174133     0        14         0    0.00  100.00    0.00  100.00    69 274693.00      0.00 3039216 2525184   1.28 1098240.00      0.00      0.00       0  bwa
 1718174133     0         0        14    0.00  100.00    0.00  100.00    69 274693.00      0.00 3039216 2525184   1.28 1098240.00      0.00      0.00       0  |__bwa

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1718174134     0        14         0    0.00   99.00    0.00   99.00    69 277068.00      0.00 4556588 3633408   1.85 1108976.00      0.00      0.00       0  bwa
 1718174134     0         0        14    0.00   99.00    0.00   99.00    69 277103.00      0.00 4556588 3633408   1.85 1108976.00      0.00      0.00       0  |__bwa

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1718174135     0        14         0    0.00  100.00    0.00  100.00    69 278072.00      0.00 5315804 4745472   2.41 1112416.00      0.00      0.00       0  bwa
 1718174135     0         0        14    0.00  100.00    0.00  100.00    69 278075.00      0.00 5315804 4746240   2.41 1112416.00      0.00      0.00       0  |__bwa

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1718174136     0        14         0   42.00   58.00    0.00  100.00    69 161542.00      0.00 5475560 5392128   2.74 583424.00      0.00      0.00       0  bwa
 1718174136     0         0        14    0.00   52.00    0.00   52.00    69 141513.00      0.00 5475560 5392128   2.74 564128.00      0.00      0.00       0  |__bwa
 1718174136     0         0        33   41.00    5.00    0.00   46.00     0  20002.00      0.00 5475560 5392128   2.74  19296.00      0.00      0.00       0  |__bwa
 1718174136     0         0        34    0.00    0.00    0.00    0.00    41      0.00      0.00 5475560 5392128   2.74      0.00      0.00      0.00       0  |__bwa

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1718174137     0        14         0   86.00   14.00    0.00  100.00    69  42509.00      0.00 5643496 5561088   2.83  39808.00      0.00      0.00       0  bwa
 1718174137     0         0        14    0.00    0.00    0.00    0.00    69      0.00      0.00 5643496 5561088   2.83      0.00      0.00      0.00       0  |__bwa
 1718174137     0         0        33   86.00   14.00    0.00  100.00    48  42506.00      0.00 5643496 5561088   2.83  39808.00      0.00      0.00       0  |__bwa
 1718174137     0         0        34    0.00    0.00    0.00    0.00    41      0.00      0.00 5643496 5561856   2.83      0.00      0.00      0.00       0  |__bwa

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1718174138     0        14         0  547.00  172.00    0.00  719.00    69 567285.00      0.00 6407936 5733120   2.92  34816.00      0.00      0.00       0  bwa
 1718174138     0         0        14    0.00    0.00    0.00    0.00    69      0.00      0.00 6407936 5733120   2.92      0.00      0.00      0.00       0  |__bwa
 1718174138     0         0        33   21.00    2.00    0.00   23.00     0   6300.00      0.00 6407936 5733120   2.92   5632.00      0.00      0.00       0  |__bwa
 1718174138     0         0        34   63.00   16.00    0.00   79.00    41  31082.00      0.00 6407936 5733120   2.92  29184.00      0.00      0.00       0  |__bwa
 1718174138     0         0        39   60.00   15.00    0.00   75.00    50  91824.00      0.00 6407936 5733120   2.92      0.00      0.00      0.00       0  |__bwa
 1718174138     0         0        40   58.00   18.00    0.00   76.00    52  75306.00      0.00 6407936 5733120   2.92      0.00      0.00      0.00       0  |__bwa
 1718174138     0         0        41   53.00   23.00    0.00   76.00     1  50500.00      0.00 6407936 5733120   2.92      0.00      0.00      0.00       0  |__bwa
 1718174138     0         0        42   64.00   12.00    0.00   76.00    12  90413.00      0.00 6407936 5733120   2.92      0.00      0.00      0.00       0  |__bwa
 1718174138     0         0        43   55.00   21.00    0.00   76.00    37  44420.00      0.00 6407936 5733120   2.92      0.00      0.00      0.00       0  |__bwa
 1718174138     0         0        44   57.00   19.00    0.00   76.00     5  45654.00      0.00 6407936 5733120   2.92      0.00      0.00      0.00       0  |__bwa
 1718174138     0         0        45   63.00   13.00    0.00   76.00    14  83388.00      0.00 6407936 5733120   2.92      0.00      0.00      0.00       0  |__bwa
 1718174138     0         0        46   48.00   27.00    0.00   75.00    83  48438.00      0.00 6407936 5733120   2.92      0.00      0.00      0.00       0  |__bwa

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1718174139     0        14         0  833.00   58.00    0.00  891.00    69 180121.00      0.00 6563584 5925888   3.01  35200.00      0.00      0.00       0  bwa
 1718174139     0         0        14    0.00    0.00    0.00    0.00    69      0.00      0.00 6563584 5925888   3.01      0.00      0.00      0.00       0  |__bwa
 1718174139     0         0        33    0.00    0.00    0.00    0.00     0      0.00      0.00 6563584 5925888   3.01      0.00      0.00      0.00       0  |__bwa
 1718174139     0         0        34   79.00   17.00    0.00   96.00    41  37672.00      0.00 6563584 5925888   3.01  35200.00      0.00      0.00       0  |__bwa
 1718174139     0         0        39   93.00    8.00    0.00  101.00     2  15088.00      0.00 6563584 5925888   3.01      0.00      0.00      0.00       0  |__bwa
 1718174139     0         0        40   92.00    7.00    0.00   99.00    52  13832.00      0.00 6563584 5925888   3.01      0.00      0.00      0.00       0  |__bwa
 1718174139     0         0        41   97.00    3.00    0.00  100.00     1  19789.00      0.00 6563584 5925888   3.01      0.00      0.00      0.00       0  |__bwa
 1718174139     0         0        42   92.00    7.00    0.00   99.00    12  14336.00      0.00 6563584 5925888   3.01      0.00      0.00      0.00       0  |__bwa
 1718174139     0         0        43   98.00    1.00    0.00   99.00    37  20025.00      0.00 6563584 5925888   3.01      0.00      0.00      0.00       0  |__bwa
 1718174139     0         0        44   96.00    3.00    0.00   99.00     5  21095.00      0.00 6563584 5925888   3.01      0.00      0.00      0.00       0  |__bwa
 1718174139     0         0        45   90.00   10.00    0.00  100.00    14  15773.00      0.00 6563584 5925888   3.01      0.00      0.00      0.00       0  |__bwa
 1718174139     0         0        46   97.00    3.00    0.00  100.00    83  22493.00      0.00 6563584 5925888   3.01      0.00      0.00      0.00       0  |__bwa

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1718174140     0        14         0  780.00   16.00    0.00  796.00    69  76440.00      0.00 6563584 5969664   3.04      0.00      0.00      0.00       0  bwa
 1718174140     0         0        14    0.00    0.00    0.00    0.00    69      0.00      0.00 6563584 5969664   3.04      0.00      0.00      0.00       0  |__bwa
 1718174140     0         0        33    0.00    0.00    0.00    0.00     0      0.00      0.00 6563584 5969664   3.04      0.00      0.00      0.00       0  |__bwa
 1718174140     0         0        34    0.00    0.00    0.00    0.00    41      0.00      0.00 6563584 5969664   3.04      0.00      0.00      0.00       0  |__bwa
 1718174140     0         0        39   97.00    2.00    0.00   99.00     2   9205.00      0.00 6563584 5969664   3.04      0.00      0.00      0.00       0  |__bwa
