Linux 6.5.0-35-generic (workflow0-full1-487-fastq-cleaner-1500-srr062641-1and2-4px6q) 	06/12/24 	_x86_64_	(96 CPU)

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1718173450     0        13         0  148.00   52.00    0.00  200.00    80 192485.00      0.00  875312  776480   0.39  33664.00      0.00      0.00       0  fastq_cleaner
 1718173450     0         0        13    0.00    0.00    0.00    0.00    80      0.00      0.00  875312  776480   0.39      0.00      0.00      0.00       0  |__fastq_cleaner
 1718173450     0         0        14   74.00   25.00    0.00   99.00    86  93813.00      0.00  875312  776480   0.39  17536.00      0.00      0.00       0  |__fastq_cleaner
 1718173450     0         0        15   74.00   27.00    0.00  101.00    45  98694.00      0.00  875312  776480   0.39  16128.00      0.00      0.00       0  |__fastq_cleaner

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1718173451     0        13         0  171.00   15.00    0.00  186.00    80  77496.00      0.00 1139400 1045104   0.53      0.00   5976.00      0.00       0  fastq_cleaner
 1718173451     0         0        13    7.00   13.00    0.00   20.00    80  74231.00      0.00 1139400 1045104   0.53      0.00      0.00      0.00       0  |__fastq_cleaner
 1718173451     0         0        27   85.00    0.00    0.00   85.00    34     73.00      0.00 1139400 1045104   0.53      0.00   3172.00      0.00       0  |__fastq_cleaner
 1718173451     0         0        28   75.00    0.00    0.00   75.00    84     68.00      0.00 1139400 1045104   0.53      0.00   2804.00      0.00       0  |__fastq_cleaner

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1718173452     0        13         0  198.00    2.00    0.00  200.00    80   5496.00      0.00 1139400 1045104   0.53      0.00   6780.00      0.00       0  fastq_cleaner
 1718173452     0         0        27   98.00    1.00    0.00   99.00     9   2750.00      0.00 1139400 1045104   0.53      0.00   3412.00      0.00       0  |__fastq_cleaner
 1718173452     0         0        28  100.00    0.00    0.00  100.00    84   2749.00      0.00 1139400 1045104   0.53      0.00   3368.00      0.00       0  |__fastq_cleaner

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1718173453     0        13         0  196.00    4.00    0.00  200.00    80   6368.00      0.00 1139400 1045104   0.53      0.00   6752.00      0.00       0  fastq_cleaner
 1718173453     0         0        27   98.00    3.00    0.00  101.00     9   3190.00      0.00 1139400 1045104   0.53      0.00   3404.00      0.00       0  |__fastq_cleaner
 1718173453     0         0        28   98.00    2.00    0.00  100.00    84   3177.00      0.00 1139400 1045104   0.53      0.00   3348.00      0.00       0  |__fastq_cleaner

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1718173454     0        13         0  195.00    6.00    0.00  201.00    80   6310.00      0.00 1139400 1045104   0.53      0.00   6684.00      0.00       0  fastq_cleaner
 1718173454     0         0        27   96.00    4.00    0.00  100.00     9   3125.00      0.00 1139400 1045104   0.53      0.00   3340.00      0.00       0  |__fastq_cleaner
 1718173454     0         0        28   98.00    1.00    0.00   99.00    84   3185.00      0.00 1139400 1045104   0.53      0.00   3344.00      0.00       0  |__fastq_cleaner

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1718173455     0        13         0  198.00    1.00    0.00  199.00    80   6633.00      0.00 1139400 1045104   0.53      0.00   6984.00      0.00       0  fastq_cleaner
 1718173455     0         0        27   99.00    1.00    0.00  100.00     9   3344.00      0.00 1139400 1045104   0.53      0.00   3492.00      0.00       0  |__fastq_cleaner
 1718173455     0         0        28  100.00    1.00    0.00  101.00    84   3289.00      0.00 1139400 1045104   0.53      0.00   3492.00      0.00       0  |__fastq_cleaner

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1718173456     0        13         0  198.00    2.00    0.00  200.00    80   6651.00      0.00 1139400 1045104   0.53      0.00   7360.00      0.00       0  fastq_cleaner
 1718173456     0         0        27   99.00    1.00    0.00  100.00     9   3316.00      0.00 1139400 1045104   0.53      0.00   3676.00      0.00       0  |__fastq_cleaner
 1718173456     0         0        28   99.00    1.00    0.00  100.00    84   3333.00      0.00 1139400 1045104   0.53      0.00   3684.00      0.00       0  |__fastq_cleaner

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1718173457     0        13         0  198.00    3.00    0.00  201.00    80   6521.00      0.00 1139400 1045104   0.53      0.00   6960.00      0.00       0  fastq_cleaner
 1718173457     0         0        27   98.00    1.00    0.00   99.00     9   3264.00      0.00 1139400 1045104   0.53      0.00   3484.00      0.00       0  |__fastq_cleaner
 1718173457     0         0        28   99.00    1.00    0.00  100.00    84   3260.00      0.00 1139400 1045104   0.53      0.00   3476.00      0.00       0  |__fastq_cleaner

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1718173458     0        13         0  198.00    1.00    0.00  199.00    80   6502.00      0.00 1139400 1045104   0.53      0.00   6764.00      0.00       0  fastq_cleaner
 1718173458     0         0        27  100.00    1.00    0.00  101.00     9   3245.00      0.00 1139400 1045104   0.53      0.00   3396.00      0.00       0  |__fastq_cleaner
 1718173458     0         0        28  100.00    0.00    0.00  100.00    84   3255.00      0.00 1139400 1045104   0.53      0.00   3368.00      0.00       0  |__fastq_cleaner

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1718173459     0        13         0  199.00    1.00    0.00  200.00    80   6414.00      0.00 1139400 1045104   0.53      0.00   6764.00      0.00       0  fastq_cleaner
 1718173459     0         0        27   99.00    1.00    0.00  100.00     9   3200.00      0.00 1139400 1045104   0.53      0.00   3392.00      0.00       0  |__fastq_cleaner
 1718173459     0         0        28   99.00    1.00    0.00  100.00    84   3215.00      0.00 1139400 1045104   0.53      0.00   3372.00      0.00       0  |__fastq_cleaner

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1718173460     0        13         0  198.00    2.00    0.00  200.00    80   6555.00      0.00 1139400 1045104   0.53      0.00   6908.00      0.00       0  fastq_cleaner
 1718173460     0         0        27   98.00    2.00    0.00  100.00     9   3270.00      0.00 1139400 1045104   0.53      0.00   3456.00      0.00       0  |__fastq_cleaner
 1718173460     0         0        28   99.00    0.00    0.00   99.00    84   3285.00      0.00 1139400 1045104   0.53      0.00   3452.00      0.00       0  |__fastq_cleaner

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1718173461     0        13         0  197.00    3.00    0.00  200.00    80   6515.00      0.00 1139400 1045104   0.53      0.00   7096.00      0.00       0  fastq_cleaner
 1718173461     0         0        27   99.00    1.00    0.00  100.00     9   3251.00      0.00 1139400 1045104   0.53      0.00   3528.00      0.00       0  |__fastq_cleaner
 1718173461     0         0        28  100.00    1.00    0.00  101.00    84   3264.00      0.00 1139400 1045104   0.53      0.00   3568.00      0.00       0  |__fastq_cleaner

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1718173462     0        13         0  166.00   19.00    0.00  185.00    80 108891.00      0.00  842548  748540   0.38      0.00   5816.00      0.00       0  fastq_cleaner
 1718173462     0         0        13    1.00    6.00    0.00    7.00    80  29666.00      0.00  842548  748540   0.38      0.00      0.00      0.00       0  |__fastq_cleaner

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1718173463     0        13         0  144.00   35.00    0.00  179.00    80 164200.00      0.00  418076  348708   0.18  38656.00      0.00      0.00       0  fastq_cleaner
 1718173463     0         0        13    7.00   13.00    0.00   20.00    80  77765.00      0.00  418076  348708   0.18      0.00      0.00      0.00       0  |__fastq_cleaner
 1718173463     0         0        53   63.00   15.00    0.00   78.00    36  56260.00      0.00  418076  348708   0.18  18688.00      0.00      0.00       0  |__fastq_cleaner
 1718173463     0         0        54   72.00    7.00    0.00   79.00    86  30156.00      0.00  418076  348708   0.18  19968.00      0.00      0.00       0  |__fastq_cleaner

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1718173464     0        13         0  156.00   44.00    0.00  200.00    80 187491.00      0.00  876828  723492   0.37  41344.00      0.00      0.00       0  fastq_cleaner
 1718173464     0         0        13    0.00    0.00    0.00    0.00    80      0.00      0.00  876828  723492   0.37      0.00      0.00      0.00       0  |__fastq_cleaner
 1718173464     0         0        53   79.00   22.00    0.00  101.00    36  98122.00      0.00  876828  723492   0.37  21376.00      0.00      0.00       0  |__fastq_cleaner
 1718173464     0         0        54   78.00   22.00    0.00  100.00    86  89401.00      0.00  876828  724260   0.37  19968.00      0.00      0.00       0  |__fastq_cleaner

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1718173465     0        13         0  167.00   16.00    0.00  183.00    80  89010.00      0.00 1173680 1078308   0.55      0.00   5316.00      0.00       0  fastq_cleaner
 1718173465     0         0        13    7.00   11.00    0.00   18.00    80  74218.00      0.00 1173680 1078308   0.55      0.00      0.00      0.00       0  |__fastq_cleaner
 1718173465     0         0        59   81.00    0.00    0.00   81.00    36      0.00      0.00 1173680 1078308   0.55      0.00   2852.00      0.00       0  |__fastq_cleaner
 1718173465     0         0        60   72.00    0.00    0.00   72.00    34      0.00      0.00 1173680 1078308   0.55      0.00   2464.00      0.00       0  |__fastq_cleaner

