Linux 6.5.0-35-generic (workflow0-full1-487-samtools-index-markduplicate-g2n2t) 	06/12/24 	_x86_64_	(96 CPU)

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1718177186     0        13         0  885.00   59.00    0.00  944.00     6   1725.00      0.00  678368    6144   0.00 672512.00      0.00      0.00       0  samtools
 1718177186     0         0        13   72.00    2.00    0.00   74.00     6    757.00      0.00  678368    6144   0.00      0.00      0.00      0.00       0  |__samtools
 1718177186     0         0        14   99.00    0.00    0.00   99.00    71     84.00      0.00  678368    6144   0.00      0.00      0.00      0.00       0  |__samtools
 1718177186     0         0        15   99.00    0.00    0.00   99.00    50     78.00      0.00  678368    6144   0.00      0.00      0.00      0.00       0  |__samtools
 1718177186     0         0        16   99.00    0.00    0.00   99.00    13     75.00      0.00  678368    6144   0.00      0.00      0.00      0.00       0  |__samtools
 1718177186     0         0        17   99.00    0.00    0.00   99.00    47     94.00      0.00  678368    6144   0.00      0.00      0.00      0.00       0  |__samtools
 1718177186     0         0        18   98.00    0.00    0.00   98.00    82     75.00      0.00  678368    6144   0.00      0.00      0.00      0.00       0  |__samtools
 1718177186     0         0        19   98.00    0.00    0.00   98.00    40     57.00      0.00  678368    6144   0.00      0.00      0.00      0.00       0  |__samtools
 1718177186     0         0        20   99.00    0.00    0.00   99.00    28    120.00      0.00  678368    6144   0.00      0.00      0.00      0.00       0  |__samtools
 1718177186     0         0        21  100.00    0.00    0.00  100.00    36     57.00      0.00  678368    6144   0.00      0.00      0.00      0.00       0  |__samtools
 1718177186     0         0        22   21.00   54.00    0.00   75.00     8    328.00      0.00  678368    6144   0.00 672384.00      0.00      0.00       0  |__samtools

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1718177187     0        13         0  886.00   47.00    0.00  933.00    60    745.00      0.00  681740    8448   0.00 674816.00      0.00      0.00       0  samtools
 1718177187     0         0        13   73.00    1.00    0.00   74.00    60    734.00      0.00  681740    8448   0.00      0.00      0.00      0.00       0  |__samtools
 1718177187     0         0        14   99.00    0.00    0.00   99.00    71      2.00      0.00  681740    8448   0.00      0.00      0.00      0.00       0  |__samtools
 1718177187     0         0        15   99.00    0.00    0.00   99.00    48      0.00      0.00  681740    8448   0.00      0.00      0.00      0.00       0  |__samtools
 1718177187     0         0        16   99.00    0.00    0.00   99.00    58      4.00      0.00  681740    8448   0.00      0.00      0.00      0.00       0  |__samtools
 1718177187     0         0        17   99.00    0.00    0.00   99.00    47      0.00      0.00  681740    8448   0.00      0.00      0.00      0.00       0  |__samtools
 1718177187     0         0        18   99.00    0.00    0.00   99.00    34      0.00      0.00  681740    8448   0.00      0.00      0.00      0.00       0  |__samtools
 1718177187     0         0        19   99.00    1.00    0.00  100.00    15      2.00      0.00  681740    8448   0.00      0.00      0.00      0.00       0  |__samtools
 1718177187     0         0        20   99.00    1.00    0.00  100.00    28      0.00      0.00  681740    8448   0.00      0.00      0.00      0.00       0  |__samtools
 1718177187     0         0        21   98.00    0.00    0.00   98.00    36      0.00      0.00  681740    8448   0.00      0.00      0.00      0.00       0  |__samtools
 1718177187     0         0        22   18.00   48.00    0.00   66.00    79      3.00      0.00  681740    8448   0.00 674944.00      0.00      0.00       0  |__samtools

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1718177188     0        13         0  878.00   44.00    0.00  922.00    88    846.00      0.00  684600   10752   0.01 666112.00      0.00      0.00       0  samtools
 1718177188     0         0        13   73.00    2.00    0.00   75.00    88    755.00      0.00  684600   10752   0.01      0.00      0.00      0.00       0  |__samtools
 1718177188     0         0        14   99.00    0.00    0.00   99.00    68     11.00      0.00  684600   10752   0.01      0.00      0.00      0.00       0  |__samtools
 1718177188     0         0        15   99.00    0.00    0.00   99.00     6      8.00      0.00  684600   10752   0.01      0.00      0.00      0.00       0  |__samtools
 1718177188     0         0        16   98.00    1.00    0.00   99.00    11     11.00      0.00  684600   10752   0.01      0.00      0.00      0.00       0  |__samtools
 1718177188     0         0        17   97.00    0.00    0.00   97.00    76     11.00      0.00  684600   10752   0.01      0.00      0.00      0.00       0  |__samtools
 1718177188     0         0        18   98.00    1.00    0.00   99.00    58      8.00      0.00  684600   10752   0.01      0.00      0.00      0.00       0  |__samtools
