time,cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,cpu9,cpu10,cpu11,cpu12,cpu13,cpu14,cpu15,cpu16,cpu17,cpu18,cpu19,cpu20,cpu21,cpu22,cpu23,cpu24,cpu25,cpu26,cpu27,cpu28,cpu29,cpu30,cpu31,cpu32,cpu33,cpu34,cpu35,cpu36,cpu37,cpu38,cpu39,cpu40,cpu41,cpu42,cpu43,cpu44,cpu45,cpu46,cpu47,cpu48,cpu49,cpu50,cpu51,cpu52,cpu53,cpu54,cpu55,cpu56,cpu57,cpu58,cpu59,cpu60,cpu61,cpu62,cpu63,cpu64,cpu65,cpu66,cpu67,cpu68,cpu69,cpu70,cpu71,cpu72,cpu73,cpu74,cpu75,cpu76,cpu77,cpu78,cpu79,cpu80,cpu81,cpu82,cpu83,cpu84,cpu85,cpu86,cpu87,cpu88,cpu89,cpu90,cpu91,cpu92,cpu93,cpu94,cpu95,rss,kb_rd,kb_wr,kb_ccwr,iodelay
1718177053,0,0,0,0,0,0,0,0,0,0,81.19,69.31,55.45,0,0,0,0,0,87.13,0,0,0,86.14,0,0,0,0,0,0,0,0,0,0,0,3.96,0,0,98.02,0,87.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1651200,413401.98,0.0,0.0,0
1718177054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,0,57.0,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,91.0,0,0,0,0,0,0,0,94.0,0,0,0,0,0,86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,61.0,0,0,2881536,405376.0,0.0,0.0,0
1718177055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0,0,0,86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.0,0,0,0,0,0,0,0,93.0,0,0,0,0,0,88.0,0,0,0,0,0,0,0,56.0,0,0,0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.0,85.0,0,4078080,391424.0,0.0,0.0,0
1718177056,0,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.0,0,0,82.0,0,0,0,0,0,0,0,0,0,84.0,0,0,0,0,0,0,0,0,0,0,86.0,0,0,0,0,0,0,0,95.0,0,0,0,0,0,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.0,0,0,5319168,405888.0,0.0,0.0,0
1718177057,0,0,53.0,0,30.0,0,0,87.0,0,0,0,68.0,82.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.0,0,0,0,86.0,0,0,0,93.0,0,0,0,0,0,86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6528768,396544.0,0.0,0.0,0
1718177058,0,6.0,0,90.0,4.0,0,0,7.0,0,0,0,6.0,6.0,0,0,0,0,90.0,0,91.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,0,8.0,0,0,0,8.0,91.0,0,0,0,0,7.0,0,0,0,0,0,0,0,90.0,0,0,0,0,0,0,0,91.0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,91.0,0,0,0,0,0,90.0,0,0,0,0,0,0,6974208,0.0,0.0,0.0,0
1718177059,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,100.0,0,0,100.0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,100.0,0,0,0,0,0,101.0,0,0,0,0,0,0,6931972,0.0,956.0,0.0,0
1718177060,0,0.0,100.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,99.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,100.0,0,0,0,0,0,99.0,0,0,0,0,0,0,6635920,0.0,22660.0,0.0,0
1718177061,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,101.0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,100.0,0,100.0,0,0,0,99.0,0,0,6635920,0.0,22492.0,0.0,0
1718177062,100.0,100.0,101.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.0,0,0,0,100.0,0,101.0,0,0,0,100.0,0,0,6635920,0.0,22464.0,0.0,0
