Linux 6.5.0-35-generic (workflow0-full1-487-samtools-sort-markduplicate-zf8nn) 	06/12/24 	_x86_64_	(96 CPU)

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1718177053     0        13         0  554.46  100.99    0.00  655.45    37 313561.39      0.00 7096676 1650432   0.84 413528.71      0.00      0.00       0  samtools
 1718177053     0         0        13   45.54   52.48    0.00   98.02    37 312817.82      0.00 7096676 1650432   0.84      0.00      0.00      0.00       0  |__samtools
 1718177053     0         0        14   85.15    1.98    0.00   87.13    39     99.01      0.00 7096676 1650432   0.84      0.00      0.00      0.00       0  |__samtools
 1718177053     0         0        15   88.12    0.99    0.00   89.11    57    100.99      0.00 7096676 1650432   0.84      0.00      0.00      0.00       0  |__samtools
 1718177053     0         0        16   87.13    0.00    0.00   87.13    18     78.22      0.00 7096676 1650432   0.84      0.00      0.00      0.00       0  |__samtools
 1718177053     0         0        17   85.15    0.99    0.00   86.14    22    110.89      0.00 7096676 1651200   0.84      0.00      0.00      0.00       0  |__samtools
 1718177053     0         0        18   79.21    1.98    0.00   81.19    10     80.20      0.00 7096676 1651200   0.84      0.00      0.00      0.00       0  |__samtools
 1718177053     0         0        19   69.31    0.00    0.00   69.31    11      1.98      0.00 7096676 1651200   0.84      0.00      0.00      0.00       0  |__samtools
 1718177053     0         0        20    2.97    0.99    0.00    3.96    34      0.00      0.00 7096676 1651200   0.84      0.00      0.00      0.00       0  |__samtools
 1718177053     0         0        21    0.00    0.00    0.00    0.00    79      0.00      0.00 7096676 1651200   0.84      0.00      0.00      0.00       0  |__samtools
 1718177053     0         0        22   10.89   44.55    0.00   55.45    12    270.30      0.00 7096676 1651200   0.84 413401.98      0.00      0.00       0  |__samtools

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1718177054     0        13         0  592.00  117.00    0.00  709.00    47 307828.00      0.00 7227748 2880768   1.47 405248.00      0.00      0.00       0  samtools
 1718177054     0         0        13   37.00   57.00    0.00   94.00    47 307795.00      0.00 7227748 2880768   1.47      0.00      0.00      0.00       0  |__samtools
 1718177054     0         0        14   90.00    1.00    0.00   91.00    39      0.00      0.00 7227748 2881536   1.47      0.00      0.00      0.00       0  |__samtools
 1718177054     0         0        15   88.00    1.00    0.00   89.00    92      0.00      0.00 7227748 2881536   1.47      0.00      0.00      0.00       0  |__samtools
 1718177054     0         0        16   84.00    1.00    0.00   85.00    18      0.00      0.00 7227748 2881536   1.47      0.00      0.00      0.00       0  |__samtools
 1718177054     0         0        17   86.00    0.00    0.00   86.00    53      0.00      0.00 7227748 2881536   1.47      0.00      0.00      0.00       0  |__samtools
 1718177054     0         0        18   85.00    1.00    0.00   86.00    15     15.00      0.00 7227748 2881536   1.47      0.00      0.00      0.00       0  |__samtools
 1718177054     0         0        19   54.00    3.00    0.00   57.00    17      0.00      0.00 7227748 2881536   1.47      0.00      0.00      0.00       0  |__samtools
 1718177054     0         0        20   45.00    0.00    0.00   45.00    38      6.00      0.00 7227748 2881536   1.47      0.00      0.00      0.00       0  |__samtools
 1718177054     0         0        21   13.00    0.00    0.00   13.00    79      3.00      0.00 7227748 2881536   1.47      0.00      0.00      0.00       0  |__samtools
 1718177054     0         0        22   10.00   51.00    0.00   61.00    93      9.00      0.00 7227748 2881536   1.47 405376.00      0.00      0.00       0  |__samtools

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1718177055     0        13         0  561.00  107.00    0.00  668.00    47 298975.00      0.00 7227748 4076544   2.07 391424.00      0.00      0.00       0  samtools
 1718177055     0         0        13   38.00   55.00    0.00   93.00    47 298983.00      0.00 7227748 4077312   2.07      0.00      0.00      0.00       0  |__samtools
 1718177055     0         0        14   87.00    1.00    0.00   88.00    39      0.00      0.00 7227748 4077312   2.07      0.00      0.00      0.00       0  |__samtools
 1718177055     0         0        15   83.00    2.00    0.00   85.00    94      0.00      0.00 7227748 4077312   2.07      0.00      0.00      0.00       0  |__samtools
 1718177055     0         0        16   85.00    1.00    0.00   86.00    18      0.00      0.00 7227748 4077312   2.07      0.00      0.00      0.00       0  |__samtools
 1718177055     0         0        17   87.00    1.00    0.00   88.00    53      0.00      0.00 7227748 4077312   2.07      0.00      0.00      0.00       0  |__samtools
 1718177055     0         0        18   85.00    0.00    0.00   85.00    15      0.00      0.00 7227748 4077312   2.07      0.00      0.00      0.00       0  |__samtools
 1718177055     0         0        19   55.00    1.00    0.00   56.00    61      0.00      0.00 7227748 4077312   2.07      0.00      0.00      0.00       0  |__samtools
 1718177055     0         0        20   22.00    2.00    0.00   24.00    65      0.00      0.00 7227748 4077312   2.07      0.00      0.00      0.00       0  |__samtools
 1718177055     0         0        21    6.00    0.00    0.00    6.00    79      0.00      0.00 7227748 4078080   2.07      0.00      0.00      0.00       0  |__samtools
 1718177055     0         0        22    8.00   48.00    0.00   56.00    93      0.00      0.00 7227748 4078080   2.07 391424.00      0.00      0.00       0  |__samtools

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1718177056     0        13         0  541.00  113.00    0.00  654.00    47 310241.00      0.00 7489892 5317632   2.70 405760.00      0.00      0.00       0  samtools
 1718177056     0         0        13   39.00   56.00    0.00   95.00    47 310212.00      0.00 7489892 5317632   2.70      0.00      0.00      0.00       0  |__samtools
 1718177056     0         0        14   86.00    0.00    0.00   86.00    39      0.00      0.00 7489892 5317632   2.70      0.00      0.00      0.00       0  |__samtools
 1718177056     0         0        15   80.00    4.00    0.00   84.00    28      0.00      0.00 7489892 5318400   2.70      0.00      0.00      0.00       0  |__samtools
 1718177056     0         0        16   80.00    2.00    0.00   82.00    18      0.00      0.00 7489892 5318400   2.70      0.00      0.00      0.00       0  |__samtools
 1718177056     0         0        17   84.00    1.00    0.00   85.00    53      0.00      0.00 7489892 5318400   2.70      0.00      0.00      0.00       0  |__samtools
 1718177056     0         0        18   83.00    1.00    0.00   84.00    15      0.00      0.00 7489892 5318400   2.70      0.00      0.00      0.00       0  |__samtools
 1718177056     0         0        19   70.00    0.00    0.00   70.00     1      0.00      0.00 7489892 5318400   2.70      0.00      0.00      0.00       0  |__samtools
 1718177056     0         0        20    7.00    1.00    0.00    8.00    67      0.00      0.00 7489892 5318400   2.70      0.00      0.00      0.00       0  |__samtools
 1718177056     0         0        21    3.00    0.00    0.00    3.00    79      0.00      0.00 7489892 5319168   2.71      0.00      0.00      0.00       0  |__samtools
